"PC1","PC2","PC3","PC4","PC5","year","class","Attr64","Attr54","Attr53","Attr28","Attr27","Attr21","Attr14"
2.31622553049543,27.7666969068054,-6.21825725179087,-2.64214426709022,-2.99881098653022,1,1,1,1,1,1,1,1,0.22295153287985
6.43359091546598,20.6617268782174,-3.2810818428242,3.04036768630903,-2.31953566599164,1,1,1,1,1,1,1,1,0.269309322393727
4.28833524726427,20.5588186871922,-7.81452408298034,-0.966061952326682,-6.06151094246038,1,1,1,1,1,1,1,1,0.247945426227919
6.47545676723502,18.0011096994042,-5.08144667202201,3.72049836009111,-1.77606571136403,1,1,1,1,1,1,1,1,0.105341515477324
10.6482945972023,5.25388242407193,-11.01198519679,2.45308798941031,-4.14905464074989,1,1,1,1,1,1,1,1,0.0143308214892884
7.89305754611144,17.389179549184,-9.95771925003562,-0.73309150781681,-5.96679388839227,1,1,1,1,1,1,1,1,0.142610056557727
3.36861523685014,17.7778477911043,-8.16498312783324,0.66212073567831,-6.5721395000611,1,1,1,1,1,1,1,1,-0.0246001168682327
1.48264111685391,19.5124735446974,-7.6717131846401,-1.00461687629533,-3.89850716285915,1,1,1,1,1,1,1,1,0.286734123289913
3.00871406549846,22.527637215828,-10.028106735573,-0.822474361998537,-2.95420598945614,1,1,1,1,1,1,1,1,0.0751659123376056
3.34884656269815,23.5323883592844,-7.87797221977715,-2.780269043729,-7.0020130494452,1,1,1,1,1,1,1,1,-0.0352676567862921
9.25304828701872,25.0800251615197,-8.30347310134461,-3.94027294528078,-3.31328528208746,1,1,1,1,1,1,1,1,-0.0343854618447716
1.73408988603285,20.9189096643691,-6.99854084538137,-2.98155391369029,-5.18466991595528,1,1,1,1,1,1,1,1,0.038960102274139
6.48638321088726,18.4980358097936,-9.68836016841377,-0.29664779002001,-2.63234963088368,1,1,1,1,1,1,1,2,0.130229698024691
9.52031760622602,23.2410715569842,-12.4670297428999,-0.445361870063171,-4.09914184414781,1,1,1,1,1,1,1,2,-0.36391537845137
6.77759603598375,17.8229151614483,-8.18472723533442,0.46253122518551,-1.58322577793842,1,1,1,1,1,1,1,1,0.145251196640226
2.15529061852288,19.7167386260807,-10.8389666669975,-0.533774538428288,-1.90681303428526,1,1,1,1,1,1,1,1,0.308447471428651
4.3684675459404,22.9137609162759,-9.02328939262239,-1.37301715067155,-2.69283906181726,1,1,1,1,1,1,1,1,0.230405122174902
-2.42716299633,22.3176423645101,-11.6074922627489,-0.902068107749994,-3.80779020270564,1,1,1,1,1,1,1,1,0.278706915961497
11.6375947505537,19.3543164987764,-10.7115013893885,-1.22321786108769,-4.1365987774386,1,1,1,1,1,1,1,2,-0.0561714892455738
7.68652503874397,20.1886942213638,-9.37670840831375,-4.29211181566155,-5.12902312877097,1,1,1,1,1,1,1,1,-0.444476243224457
3.73752798531238,18.7242177539521,-3.17854021622555,0.15058431084503,-1.80023209947324,1,1,1,1,1,1,1,1,0.119834263782131
9.85676800315728,22.7864700200186,-9.86090295407243,-2.0171846032389,-5.22070435655484,1,1,1,1,1,1,1,1,0.0109300487925814
6.53322558953402,21.2823870080221,-3.01375735263099,1.26994587949548,0.172689343227855,1,1,1,1,1,1,1,1,0.112176235777788
0.755603446858711,18.5935076908382,-10.6621235990591,-1.74300426532786,-3.46866339969332,1,1,1,1,1,1,1,1,0.306005665339141
-1.55865767176091,26.1711967495937,-8.81924107774172,-1.48060562953983,-4.00301216742805,1,1,1,1,1,1,1,1,0.225309204593391
-0.910383300986369,23.5003588833813,-9.021572249417,0.0117833394157235,-4.66528233021914,1,1,1,1,1,1,1,1,0.153776324050592
5.67000014876958,18.7841000742479,-5.89483347417433,-4.02881216394192,-6.94658882471919,1,1,1,1,1,1,1,1,0.0580396365602405
4.36823605934633,19.7473636225578,-7.56785519267374,-5.15259657535795,-0.65009206907152,1,1,1,1,1,1,1,1,0.0432213537543512
8.90464621683456,19.7773810873148,-7.95686725838712,-2.36216539680237,-2.21466213438937,1,1,1,1,1,1,1,1,-0.0840524861007312
5.1588515428748,19.7552487059364,-11.452996355964,-1.28755884372268,-5.7578133640273,1,1,1,1,1,1,1,1,0.0360927492478702
8.59690149844625,20.5499459815517,-8.07629237622951,-3.66692464358521,-3.69857886173965,1,1,1,1,1,1,1,1,-0.00911037371595388
11.3749173327965,21.459688866373,-10.7274615203981,-3.00141235652633,-3.83545674836238,1,1,1,1,1,1,1,1,-0.0645587880096095
